Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.1667),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_10_.qasm,0.5,0.5,0.5,,CCX,0.6875,0.31835206,0.166666667,0.550561798,0.876404494,0.6875,0.31835206,0.166666667,0.550561798,0.876404494
AddGate_ccx_inGap_3_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ccx_inGap_4_.qasm,1,1,1,,,,,,,,,,,,
AddGate_ccx_inGap_5_.qasm,1,1,1,,,,,,,,,,,,
AddGate_ccx_inGap_6_.qasm,1,1,1,,,,,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_cswap_inGap_3_.qasm,0.833333333,0.833333333,0.833333333,,CSWAP,0.888888889,,,,,0.888888889,,,,
AddGate_cswap_inGap_4_.qasm,1,1,1,,,,,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.833333333,0.833333333,0.833333333,,,,,,,,,,,,
AddGate_cx_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,CX,0.314814815,,,,,0.314814815,,,,
AddGate_cx_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_4_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_9_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.333333333,0.333333333,0.333333333,,H,0.35,,,,,0.35,,,,
AddGate_h_inGap_1_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_h_inGap_3_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_6_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rx_inGap_10_.qasm,0.333333333,0.333333333,0.333333333,,RX,0.259259259,,,,,0.259259259,,,,
AddGate_rx_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rx_inGap_3_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rx_inGap_4_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rx_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rx_inGap_6_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rx_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rx_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,RXX,0.216666667,,,,,0.216666667,,,,
AddGate_rxx_inGap_1_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,RY,0.351851852,,,,,0.351851852,,,,
AddGate_ry_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_swap_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,SWAP,0.166666667,,,,,0.166666667,,,,
AddGate_swap_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_sx_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,SX,0.203703704,,,,,0.203703704,,,,
AddGate_sx_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_sx_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_sx_inGap_4_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_sx_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_sx_inGap_6_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_sx_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_sx_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,X,0.185185185,,,,,0.185185185,,,,
AddGate_x_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,Y,0.222222222,,,,,0.222222222,,,,
AddGate_y_inGap_2_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.117242729,0.5,0.5,,,,,,,,,,,,,
0.278296156,0.166666667,0.166666667,,,,,,,,,,,,,
0.538047742,0.166666667,0.166666667,,,,,,,,,,,,,
0.266622013,0.166666667,0.166666667,,,,,,,,,,,,,
0.811607638,0.333333333,0.333333333,,,,,,,,,,,,,
0.711671463,0.166666667,0.166666667,,,,,,,,,,,,,
0.484844001,0.166666667,0.166666667,,,,,,,,,,,,,
0.86519637,0.166666667,0.166666667,,,,,,,,,,,,,
0.929840351,0.166666667,0.166666667,,,,,,,,,,,,,
0.166563344,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.666666667,0.666666667,,0.388888889,0.333333333,0.454545455,0.757575758,0.388888889,0.333333333,0.454545455,,,,,
,1,1,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,0.833333333,0.833333333,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,0.833333333,0.833333333,,,,,,,,,,,,,
,0.666666667,0.666666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.666666667,0.666666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
