Program,exam_score,,,AVERAGE,,MEDIAN,,Top 1,,Top 3,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_cz_inGap_15_.qasm,0.208333333,,0.263888889,0.252747253,,0.166666667,,0.164835165,,0.417582418,,,0.208333333,,0.227777778,,0.166666667,,0.2,,0.466666667
AddGate_cz_inGap_16_.qasm,0.208333333,,,,,,,,,,,,0.208333333,,,,,,,,
AddGate_cz_inGap_17_.qasm,0.375,,,,,,,,,,,,0.375,,,,,,,,
AddGate_h_inGap_10_.qasm,0.041666667,,0.348958333,,,,,,,,,,0.375,,,,,,,,
AddGate_h_inGap_11_.qasm,0.5,,,,,,,,,,,,0.625,,,,,,,,
AddGate_h_inGap_21_.qasm,0.125,,,,,,,,,,,,0.041666667,,,,,,,,
AddGate_h_inGap_22_.qasm,0.625,,,,,,,,,,,,0.125,,,,,,,,
AddGate_h_inGap_23_.qasm,0.166666667,,,,,,,,,,,,0.083333333,,,,,,,,
AddGate_h_inGap_4_.qasm,0.75,,,,,,,,,,,,0.041666667,,,,,,,,
AddGate_h_inGap_5_.qasm,0.208333333,,,,,,,,,,,,0.333333333,,,,,,,,
AddGate_h_inGap_9_.qasm,0.375,,,,,,,,,,,,0.083333333,,,,,,,,
AddGate_rx_inGap_10_.qasm,0.125,,0.083333333,,,,,,,,,,0.25,,,,,,,,
AddGate_rx_inGap_11_.qasm,0.083333333,,,,,,,,,,,,0.083333333,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.041666667,,,,,,,,,,,,0.083333333,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.041666667,,0.166666667,,,,,,,,,,0.166666667,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.083333333,,,,,,,,,RAND,EXAM,,0.541666667,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.125,,,,,,,,,0.276849159,,,0.166666667,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.333333333,,,,,,,,,0.304380858,,,0.125,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.25,,,,,,,,,0.379011291,0.541666667,,0.5,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.083333333,,0.24122807,,,,,,,0.672653814,,,0.125,,,,,,,,
AddGate_ry_inGap_13_.qasm,0.458333333,,,,,,,,,0.644138823,,,0.291666667,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.666666667,,,,,,,,,0.024321978,,,0.25,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.291666667,,,,,,,,,0.864193139,,,0.25,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.291666667,,,,,,,,,0.135047934,,,0.041666667,,,,,,,,
AddGate_ry_inGap_17_.qasm,0.083333333,,,,,,,,,0.274139121,,,0.041666667,,,,,,,,
AddGate_ry_inGap_21_.qasm,0.166666667,,,,,,,,,0.999863424,,,0.708333333,,,,,,,,
AddGate_ry_inGap_22_.qasm,0.208333333,,,,,,,,,0.434120487,,,0.083333333,,,,,,,,
AddGate_ry_inGap_23_.qasm,0.041666667,,,,,,,,,0.434118289,,,0.541666667,,,,,,,,
AddGate_ry_inGap_24_.qasm,0.083333333,,,,,,,,,0.066641612,0.041666667,,0.041666667,,,,,,,,
AddGate_ry_inGap_25_.qasm,0.125,,,,,,,,,0.103287895,0.041666667,,0.041666667,,,,,,,,
AddGate_ry_inGap_26_.qasm,0.083333333,,,,,,,,,0.175272358,0.208333333,,,,,,,,,,
AddGate_ry_inGap_27_.qasm,0.083333333,,,,,,,,,0.301048385,,,,,,,,,,,
AddGate_ry_inGap_28_.qasm,0.166666667,,,,,,,,,0.53091976,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.208333333,,,,,,,,,0.803838871,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.291666667,,,,,,,,,0.898795885,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.541666667,,,,,,,,,0.518007817,0.041666667,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.208333333,,,,,,,,,0.613086105,0.166666667,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.5,,,,,,,,,0.212916656,,,,,,,,,,,
AddGate_rz_inGap_21_.qasm,0.541666667,,0.277777778,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_22_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_23_.qasm,0.125,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_12_.qasm,0.5,,0.305555556,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_13_.qasm,0.125,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_14_.qasm,0.291666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_10_.qasm,0.083333333,,0.282894737,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_11_.qasm,0.083333333,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_12_.qasm,0.708333333,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_13_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_14_.qasm,0.25,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.5,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_24_.qasm,0.291666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_25_.qasm,0.083333333,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_26_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_27_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_28_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,0.458333333,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.666666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.875,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.291666667,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_7_.qasm,0.375,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_8_.qasm,0.25,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.125,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.125,,0.253787879,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_11_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_18_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_19_.qasm,0.125,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.25,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_20_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_21_.qasm,0.625,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_22_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_23_.qasm,0.083333333,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_24_.qasm,0.125,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_25_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_26_.qasm,0.625,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_27_.qasm,0.083333333,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_28_.qasm,0.75,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.458333333,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.708333333,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.25,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.375,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.208333333,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.125,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_18_.qasm,0.041666667,,0.173611111,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_19_.qasm,0.208333333,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_20_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_21_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_22_.qasm,0.041666667,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_23_.qasm,0.541666667,,,,,,,,,,,,,,,,,,,,
